Date,Time,DataID,Temp(C),Pressure(mmHg),DO(%),DO(mg/L),SPC(uS/cm),SAL(ppt),pH,NO3-N(mg/L)
23/06/28,19:30:01,fjordmain,18.9,755.1,108.1,10.04,0.6,0,8.17,
23/06/28,19:35:01,fjordmain,9.6,754.9,103.8,10.02,40842,26,8.14,
23/06/28,19:40:01,fjordmain,9.5,755,99.6,9.62,40867,26,8.13,
23/06/28,19:45:01,fjordmain,9.5,755.1,99.2,9.58,41316,26.3,8.15,
23/06/28,19:50:01,fjordmain,9.1,754.9,99.6,9.71,41141,26.2,8.16,
23/06/28,19:55:01,fjordmain,8.9,755,99.6,9.74,41241,26.2,8.16,
23/06/28,20:00:01,fjordmain,9.1,755.1,98.6,9.6,41098,26.1,8.16,
23/06/28,20:40:00,fjordmain,8.4,755.2,96.4,9.6,40013,25.3,8.28,
23/06/28,20:45:00,fjordmain,8.5,755.2,96.4,9.56,40448,25.7,8.24,
23/06/28,20:50:00,fjordmain,7.4,755.1,96.9,9.8,41557,26.4,8.24,
23/06/28,20:55:00,fjordmain,5.2,754.9,95.1,10.39,36119,22.4,8.29,
23/06/28,21:00:00,fjordmain,4.7,755.1,92.3,10.27,35354,21.9,8.29,
23/06/28,21:05:00,fjordmain,5,755.2,91.6,10.15,34706,21.5,8.3,
23/06/28,21:10:00,fjordmain,5.6,755.2,90.7,9.91,33985,21,8.29,
23/06/28,21:15:00,fjordmain,8.8,755.1,88.4,8.92,34846,21.8,8.22,
23/06/28,21:20:00,fjordmain,10.9,755.2,90.9,8.75,35032,22,8.19,
23/06/28,21:25:00,fjordmain,10.4,755.1,93.1,8.97,37379,23.6,8.18,
23/06/28,21:30:00,fjordmain,9.4,755.1,93.1,9.13,38376,24.3,8.19,
23/06/28,21:35:00,fjordmain,9.4,755.1,93.4,9.16,38322,24.2,8.19,
23/06/28,21:40:00,fjordmain,9.6,755.1,94.2,9.25,36732,23.1,8.18,
23/06/28,21:45:00,fjordmain,9.2,755,93.7,9.12,40612,25.8,8.17,
23/06/28,21:50:00,fjordmain,9.7,755,92.5,8.94,40095,25.5,8.17,
23/06/28,21:55:00,fjordmain,10.6,755.1,92.5,8.8,38766,24.6,8.17,
23/06/28,22:00:00,fjordmain,9.6,754.9,94.2,9.09,40890,26,8.17,
23/06/28,22:05:00,fjordmain,9.8,755,93.7,9.02,40165,25.5,8.17,
23/06/28,22:10:00,fjordmain,10.3,754.8,93.9,9.15,34841,21.9,8.2,
23/06/28,22:15:00,fjordmain,10.9,754.9,94.5,9.07,34975,22,8.19,
23/06/28,22:20:00,fjordmain,9.8,754.9,97.3,9.88,28333,17.4,8.24,
23/06/28,22:25:00,fjordmain,8.4,754.8,98.3,10.29,28689,17.6,8.28,
23/06/28,22:30:00,fjordmain,9,754.8,96.9,10.15,25327,15.4,8.25,
23/06/28,22:35:00,fjordmain,10.4,754.8,95.1,9.85,20174,12,8.22,
23/06/28,22:40:00,fjordmain,11.2,754.8,95.3,9.78,17842,10.6,8.2,
23/06/28,22:45:00,fjordmain,7.9,754.7,100.2,10.27,36270,22.7,8.24,
23/06/29,13:50:30,specialfjord,7.5,755.1,116.6,11.9,38913,24.5,8.23,
23/06/29,13:51:00,specialfjord,7.3,755.2,113.8,11.67,38820,24.4,8.2,
23/06/29,13:51:30,specialfjord,7.2,755.2,112.6,11.58,38846,24.5,8.24,
23/06/29,13:52:00,specialfjord,7.2,755.2,111.7,11.5,38859,24.5,8.25,
23/06/29,13:52:30,specialfjord,7.2,755.2,111.5,11.49,38877,24.5,8.26,
23/06/29,13:53:00,specialfjord,7.2,755.2,111,11.44,38705,24.4,8.26,
23/06/29,13:53:30,specialfjord,7.2,755.1,110.7,11.42,38506,24.2,8.26,
23/06/29,13:54:00,specialfjord,7.2,755.1,110.5,11.41,38423,24.2,8.26,
23/06/29,13:54:30,specialfjord,7.2,755.1,110.3,11.38,38390,24.1,8.26,
23/06/29,13:55:00,specialfjord,7.2,755.2,110.2,11.38,38393,24.1,8.26,
23/06/29,13:55:30,specialfjord,7.1,755.1,110.1,11.36,38427,24.2,8.26,
23/06/29,13:56:00,specialfjord,7.1,755.1,109.8,11.35,38359,24.1,8.26,
23/06/29,13:56:30,specialfjord,7.1,755.1,109.6,11.33,38280,24.1,8.26,
23/06/29,13:57:00,specialfjord,7.1,755.1,109.5,11.34,38266,24,8.26,
23/06/29,13:57:30,specialfjord,7.1,755.2,109.3,11.3,38380,24.1,8.26,
23/06/29,13:58:00,specialfjord,7.1,755.1,109.1,11.27,38516,24.2,8.26,
23/06/29,13:58:30,specialfjord,7.1,755.1,109.1,11.26,38637,24.3,8.26,
23/06/29,13:59:00,specialfjord,7.1,755.1,108.8,11.23,38656,24.3,8.25,
23/06/29,13:59:30,specialfjord,7.1,755.2,108.8,11.22,38612,24.3,8.25,
23/06/29,14:00:00,specialfjord,7.1,755.1,108.8,11.26,37932,23.8,8.26,
23/06/29,14:00:30,specialfjord,7.2,755.3,108.7,11.28,37019,23.2,8.27,
23/06/29,14:01:00,specialfjord,7.2,755.3,108.9,11.31,37144,23.3,8.26,
23/06/29,14:01:30,specialfjord,7.1,755.3,108.8,11.29,37435,23.5,8.26,
23/06/29,14:02:00,specialfjord,7.2,755.2,108.8,11.29,37114,23.3,8.26,
23/06/29,14:02:30,specialfjord,7.2,755.2,108.6,11.28,36863,23.1,8.26,
23/06/29,14:03:00,specialfjord,7.2,755.2,108.6,11.29,36491,22.8,8.27,
23/06/29,14:03:30,specialfjord,7.5,755.1,108.2,11.36,33090,20.5,8.29,
23/06/29,14:04:00,specialfjord,7.6,755.1,107.4,11.25,32839,20.4,8.27,
23/06/29,14:04:30,specialfjord,7.5,755.2,107.7,11.25,33829,21,8.26,
23/06/29,14:05:00,specialfjord,7.4,755.2,107.8,11.23,34842,21.7,8.26,
23/06/29,14:05:30,specialfjord,7.4,755.2,107.8,11.21,35651,22.3,8.25,
23/06/29,14:06:00,specialfjord,7.4,755.1,108.2,11.25,35721,22.3,8.25,
23/06/29,14:06:30,specialfjord,7.7,755,107.1,11.33,29949,18.4,8.29,
23/06/29,14:07:00,specialfjord,7.8,755.2,106.6,11.2,30908,19.1,8.27,
23/06/29,14:07:30,specialfjord,7.6,755.2,107.2,11.2,33244,20.6,8.26,
23/06/29,14:08:00,specialfjord,7.4,755.1,107.8,11.2,35486,22.2,8.25,
23/06/29,14:08:30,specialfjord,7.3,755.1,108,11.19,36561,22.9,8.25,
23/06/29,14:09:00,specialfjord,7.2,755.1,108,11.19,37197,23.3,8.25,
23/06/29,14:09:30,specialfjord,7.2,755.1,108,11.19,37288,23.4,8.25,
23/06/29,14:10:00,specialfjord,7.3,755.2,108,11.21,36704,23,8.26,
23/06/29,14:10:30,specialfjord,7.3,755.2,107.7,11.17,36642,22.9,8.26,
