Date(Y-m-d),Time,Latitude_DD,Longitude_DD,Depth
2023-10-28,12:39:25,39.44772,-76.04905,2.64
2023-10-28,12:39:29,39.44773,-76.04916,2.66
2023-10-28,12:39:31,39.44773,-76.04918,2.64
2023-10-28,12:39:36,39.44773,-76.04932,2.71
2023-10-28,12:39:38,39.44773,-76.04936,2.74
2023-10-28,12:39:40,39.44773,-76.04938,2.75
2023-10-28,12:39:41,39.44774,-76.04943,2.69
2023-10-28,12:39:43,39.44774,-76.04945,2.77
2023-10-28,12:39:45,39.44774,-76.0495,2.83
2023-10-28,12:39:46,39.44774,-76.04952,2.83
2023-10-28,12:39:53,39.44775,-76.04966,2.93
2023-10-28,12:39:54,39.44775,-76.0497,2.96
2023-10-28,12:39:57,39.44775,-76.04977,2.98
2023-10-28,12:39:59,39.44776,-76.04982,2.99
2023-10-28,12:40:00,39.44776,-76.04984,3.03
2023-10-28,12:40:02,39.44776,-76.04989,3.04
2023-10-28,12:40:05,39.44777,-76.04996,2.89
2023-10-28,12:40:06,39.44777,-76.04998,3.14
2023-10-28,12:40:07,39.44777,-76.05,3.16
2023-10-28,12:40:10,39.44777,-76.05007,3.2
2023-10-28,12:40:12,39.44777,-76.05009,3.26
2023-10-28,12:40:13,39.44777,-76.05012,3.26
2023-10-28,12:40:14,39.44777,-76.05013,3.27
2023-10-28,12:40:15,39.44778,-76.05016,3.32
2023-10-28,12:40:16,39.44778,-76.05018,3.35
2023-10-28,12:40:17,39.44778,-76.0502,3.33
2023-10-28,12:40:23,39.44779,-76.05036,3.48
2023-10-28,12:40:25,39.44779,-76.05039,3.58
2023-10-28,12:40:27,39.44779,-76.05043,3.57
2023-10-28,12:40:29,39.44779,-76.05047,3.38
2023-10-28,12:40:30,39.44779,-76.05049,3.69
2023-10-28,12:40:31,39.44779,-76.05052,3.3
2023-10-28,12:40:33,39.4478,-76.05057,3.72
2023-10-28,12:40:35,39.4478,-76.0506,3.75
2023-10-28,12:40:41,39.4478,-76.05073,3.89
2023-10-28,12:40:47,39.4478,-76.05083,3.54
2023-10-28,12:40:48,39.4478,-76.05084,4.08
2023-10-28,12:40:50,39.44781,-76.05089,4.12
2023-10-28,12:40:52,39.44781,-76.05091,4.08
2023-10-28,12:40:53,39.44781,-76.05092,4.13
2023-10-28,12:40:54,39.44781,-76.05095,4.13
2023-10-28,12:40:57,39.44782,-76.05101,4.23
2023-10-28,12:40:59,39.44783,-76.05103,4.07
2023-10-28,12:41:03,39.44786,-76.05108,3.7
2023-10-28,12:41:06,39.44788,-76.05112,4.07
2023-10-28,12:41:09,39.4479,-76.05115,4.25
2023-10-28,12:41:10,39.44791,-76.05116,3.85
2023-10-28,12:41:11,39.44792,-76.05116,4.3
2023-10-28,12:41:12,39.44793,-76.05117,4.09
2023-10-28,12:41:15,39.44797,-76.05119,4.04
2023-10-28,12:41:16,39.44798,-76.05119,3.85
2023-10-28,12:41:19,39.44801,-76.05121,4.18
2023-10-28,12:41:20,39.44803,-76.05121,4.22
2023-10-28,12:41:22,39.44804,-76.05121,3.48
2023-10-28,12:41:26,39.44809,-76.05121,3.87
2023-10-28,12:41:38,39.44821,-76.05116,3.91
2023-10-28,12:41:39,39.44822,-76.05115,4.08
2023-10-28,12:41:40,39.44823,-76.05114,4.07
2023-10-28,12:41:41,39.44823,-76.05113,3.45
2023-10-28,12:41:45,39.44827,-76.05109,3.37
2023-10-28,12:41:47,39.44827,-76.05108,4.07
2023-10-28,12:41:52,39.44831,-76.05101,4.07
2023-10-28,12:41:54,39.44832,-76.051,4.01
2023-10-28,12:41:56,39.44833,-76.05096,3.47
2023-10-28,12:41:58,39.44834,-76.05094,3.27
2023-10-28,12:42:03,39.44836,-76.05085,3.85
2023-10-28,12:42:07,39.44837,-76.0508,3.79
2023-10-28,12:42:10,39.44838,-76.05076,3.76
2023-10-28,12:42:12,39.44839,-76.05071,3.69
2023-10-28,12:42:14,39.44839,-76.05069,3.71
2023-10-28,12:42:18,39.44841,-76.05062,3.64
2023-10-28,12:42:20,39.44841,-76.0506,3.6
2023-10-28,12:42:21,39.44842,-76.05057,3.58
2023-10-28,12:42:23,39.44842,-76.05055,3.49
2023-10-28,12:42:24,39.44842,-76.05053,3.49
2023-10-28,12:42:25,39.44843,-76.05052,3.48
2023-10-28,12:42:26,39.44843,-76.0505,3.45
2023-10-28,12:42:45,39.4485,-76.05014,3.06
2023-10-28,12:42:47,39.4485,-76.05012,3.06
2023-10-28,12:42:48,39.44851,-76.0501,3.06
2023-10-28,12:42:49,39.44851,-76.05008,3.04
2023-10-28,12:42:50,39.44851,-76.05007,3.03
2023-10-28,12:42:51,39.44852,-76.05004,3
2023-10-28,12:42:52,39.44852,-76.05002,3
2023-10-28,12:42:56,39.44854,-76.04992,2.93
2023-10-28,12:42:58,39.44854,-76.0499,2.89
2023-10-28,12:42:59,39.44854,-76.04988,2.8
2023-10-28,12:43:00,39.44855,-76.04984,2.91
2023-10-28,12:43:02,39.44855,-76.04982,2.85
2023-10-28,12:43:03,39.44856,-76.0498,2.41
2023-10-28,12:43:04,39.44856,-76.04978,2.83
2023-10-28,12:43:05,39.44857,-76.04976,2.8
2023-10-28,12:43:10,39.44858,-76.04965,2.76
2023-10-28,12:43:11,39.44859,-76.04964,2.71
2023-10-28,12:43:12,39.44859,-76.04961,2.68
2023-10-28,12:43:17,39.4486,-76.04951,2.64
2023-10-28,12:43:23,39.44862,-76.0494,2.64
2023-10-28,12:43:27,39.44864,-76.04929,2.45
2023-10-28,12:43:28,39.44864,-76.04928,2.58
2023-10-28,12:43:35,39.44866,-76.04913,2.52
2023-10-28,12:43:36,39.44866,-76.0491,2.51
2023-10-28,12:43:43,39.44868,-76.04897,2.45
2023-10-28,12:43:50,39.44869,-76.04882,2.45
2023-10-28,12:43:52,39.4487,-76.0488,2.43
2023-10-28,12:44:05,39.44873,-76.04849,2.39
2023-10-28,12:44:06,39.44873,-76.04848,2.41
2023-10-28,12:44:08,39.44873,-76.04843,2.39
2023-10-28,12:44:09,39.44873,-76.04841,2.39
2023-10-28,12:44:14,39.44875,-76.04832,2.35
2023-10-28,12:44:18,39.44876,-76.04821,2.22
2023-10-28,12:44:25,39.44877,-76.04806,2.28
2023-10-28,12:44:27,39.44877,-76.04803,2.28
2023-10-28,12:44:28,39.44877,-76.04801,2.27
2023-10-28,12:44:29,39.44878,-76.04799,2.3
2023-10-28,12:44:30,39.44878,-76.04797,2.27
2023-10-28,12:44:31,39.44878,-76.04794,2.27
2023-10-28,12:44:32,39.44878,-76.04793,2.28
2023-10-28,12:44:33,39.44879,-76.04788,2.26
2023-10-28,12:44:35,39.44879,-76.04786,2.27
2023-10-28,12:44:36,39.44879,-76.04784,2.28
2023-10-28,12:44:37,39.4488,-76.04782,2.26
2023-10-28,12:44:38,39.4488,-76.04779,2.27
2023-10-28,12:44:40,39.4488,-76.04775,2.24
2023-10-28,12:44:46,39.44881,-76.0476,2.28
2023-10-28,12:44:48,39.44882,-76.04758,2.24
2023-10-28,12:44:49,39.44882,-76.04753,2.25
2023-10-28,12:44:51,39.44883,-76.04751,2.22
2023-10-28,12:44:53,39.44883,-76.04745,2.24
2023-10-28,12:44:55,39.44883,-76.04742,2.24
2023-10-28,12:44:59,39.44884,-76.04732,2.22
2023-10-28,12:45:01,39.44884,-76.0473,2.2
2023-10-28,12:45:02,39.44885,-76.04727,2.22
2023-10-28,12:45:04,39.44885,-76.0472,2.2
2023-10-28,12:45:06,39.44886,-76.04718,2.2
2023-10-28,12:45:15,39.44888,-76.04696,2.16
2023-10-28,12:45:18,39.44888,-76.04691,2.16
2023-10-28,12:45:20,39.44889,-76.04684,1.96
2023-10-28,12:45:23,39.44889,-76.0468,2.15
2023-10-28,12:45:27,39.4489,-76.04673,2.16
2023-10-28,12:45:28,39.4489,-76.04668,2.18
2023-10-28,12:45:29,39.4489,-76.04666,2.16
2023-10-28,12:45:30,39.4489,-76.04664,2.16
2023-10-28,12:45:31,39.44891,-76.04662,2.16
2023-10-28,12:45:33,39.44891,-76.04658,2.15
2023-10-28,12:45:42,39.44893,-76.04637,2.18
2023-10-28,12:45:43,39.44893,-76.04635,1.88
2023-10-28,12:45:44,39.44893,-76.04633,2.16
2023-10-28,12:45:45,39.44893,-76.04631,2.18
2023-10-28,12:45:46,39.44893,-76.04629,2.16
2023-10-28,12:45:47,39.44893,-76.04626,2.2
2023-10-28,12:45:48,39.44893,-76.04624,2.18
2023-10-28,12:45:53,39.44894,-76.04614,2.2
2023-10-28,12:45:54,39.44894,-76.04611,2.2
2023-10-28,12:45:55,39.44894,-76.04609,2.2
2023-10-28,12:45:59,39.44894,-76.046,2.22
2023-10-28,12:46:02,39.44894,-76.04596,2.2
2023-10-28,12:46:03,39.44894,-76.04591,2.22
2023-10-28,12:46:04,39.44894,-76.04589,2.24
2023-10-28,12:46:06,39.44894,-76.04587,2.22
2023-10-28,12:46:07,39.44894,-76.04582,2.24
2023-10-28,12:46:09,39.44895,-76.0458,1.97
2023-10-28,12:46:11,39.44895,-76.04575,2.24
2023-10-28,12:46:12,39.44895,-76.04573,2.25
2023-10-28,12:46:13,39.44895,-76.04571,2.24
2023-10-28,12:46:25,39.44896,-76.04542,2.28
2023-10-28,12:46:27,39.44896,-76.0454,2.28
2023-10-28,12:46:28,39.44896,-76.04537,2.29
2023-10-28,12:46:29,39.44897,-76.04535,2.3
2023-10-28,12:46:30,39.44897,-76.04531,2.29
2023-10-28,12:46:32,39.44897,-76.04528,2.3
2023-10-28,12:46:34,39.44897,-76.04525,2.33
2023-10-28,12:46:37,39.44898,-76.04519,2.35
2023-10-28,12:46:38,39.44898,-76.04516,2.29
2023-10-28,12:46:39,39.44898,-76.04512,2.35
2023-10-28,12:46:42,39.44898,-76.04507,2.37
2023-10-28,12:46:43,39.44898,-76.04506,2.37
2023-10-28,12:46:45,39.44898,-76.04497,2.35
2023-10-28,12:46:48,39.44898,-76.04491,2.37
2023-10-28,12:46:50,39.44898,-76.04488,2.38
2023-10-28,12:46:54,39.44899,-76.0448,2.39
2023-10-28,12:46:55,39.44899,-76.04477,2.38
2023-10-28,12:46:56,39.44899,-76.04476,2.32
2023-10-28,12:46:59,39.449,-76.04468,2.41
